ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,UltimateSource,Source,Pages
adze1240-3,Ngariawan,adze1240,Adzera,adz,Papunesia,-6.39394,146.294,Austronesian,,Smith1988,p.67
aeka1244-1,Aeka,aeka1244,Aeka,aez,Papunesia,-8.855095,147.99477,Nuclear Trans New Guinea,"2 CSQs. Villages: Kikikonda, Korisata.",Lean1985Vol05,p.24
aeka1244-2,Aeka (Siai village),aeka1244,Aeka,aez,Papunesia,-8.855095,147.99477,Nuclear Trans New Guinea,SIL word list (1973). Siai village.,Lean1985Vol05,p.24
aeka1244-3,Aiga,aeka1244,Aeka,aez,Papunesia,-8.855095,147.99477,Nuclear Trans New Guinea,,Chinnery1915,"pp.163, 168"
aeky1238-1,Awin,aeky1238,Aekyom,awi,Papunesia,-5.88478,141.532,Kamula-Elevala,"6 CSQs. Villages: Matkomnai (2), Senamrae (2), Haewenae, Gusiore.",Lean1986Vol12,p.27
agar1252-1,Agarabi (from CSQs),agar1252,Agarabi,agd,Papunesia,-6.20604,145.917,Nuclear Trans New Guinea,7 CSQs.,Lean1986Vol08,p.33
agar1252-2,Agarabi (from IMP/SIL),agar1252,Agarabi,agd,Papunesia,-6.20604,145.917,Nuclear Trans New Guinea,"IMP/SIL Questionnaire (1978). S.I.L survey word list (1975), taken at Panano village, gives identical data for 1 to 5, and 10.",Lean1986Vol08,p.33
aghu1255-1,Digul Mappi,aghu1255,Aghu,ahh,Papunesia,-6.34674,140.043,Nuclear Trans New Guinea,,Stokhof1982Vol5.1,p.137
agii1245-1,Agi,agii1245,Agi,aif,Papunesia,-3.49104,142.387,Nuclear Torricelli,,Laycock1967C03,p.54
agob1244-1,Agöb,agob1244,Agob-Ende-Kawam,kit,Papunesia,-9.08521,142.532,Pahoturi,"3 CSQs. Villages: Buji (2), Sigabaduru.",Lean1986Vol12,p.69
agob1244-2,Bugi,agob1244,Agob-Ende-Kawam,kit,Papunesia,-9.08521,142.532,Pahoturi,,Ray1912,pp.340-341
agob1244-3,Dabu,agob1244,Agob-Ende-Kawam,kit,Papunesia,-9.08521,142.532,Pahoturi,,Ray1912,pp.340-341
