ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Pages
abui1241-2-21-1,,abui1241-2,21,kar ajo̱e̱ko̱e̱ wal no̱e̱ko̱e̱,kar ajo̱e̱ko̱e̱ wal no̱e̱ko̱e̱,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-30-1,,abui1241-2,30,kar soea,kar soea,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-40-1,,abui1241-2,40,kar boeti,kar boeti,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-50-1,,abui1241-2,50,kar djeting,kar djeting,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-60-1,,abui1241-2,60,kar talama,kar talama,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-70-1,,abui1241-2,70,kar djeting ajo̱e̱ko̱e̱,kar djeting ajo̱e̱ko̱e̱,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-80-1,,abui1241-2,80,kar djeting so̱e̱a,kar djeting so̱e̱a,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-90-1,,abui1241-2,90,kar djeting bo̱e̱ti,kar djeting bo̱e̱ti,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-100-1,,abui1241-2,100,a̱i̱saha no̱e̱ko̱e̱,a̱i̱saha no̱e̱ko̱e̱,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-200-1,,abui1241-2,200,aisaha ajoekoe,aisaha ajoekoe,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-1000-1,,abui1241-2,1000,rifi no̱e̱ko̱e̱,rifi no̱e̱ko̱e̱,,,Stokhof1987Vol11,,false,,,p.96
abui1241-2-10000-1,,abui1241-2,10000,rifi kar no̱e̱ko̱e̱,rifi kar no̱e̱ko̱e̱,,,Stokhof1987Vol11,,false,,,p.96
abun1252-1-1-1,,abun1252-1,1,dik,dik,,,Galis1955,,false,,,p.139
abun1252-1-2-1,,abun1252-1,2,wè,wè,,,Galis1955,,false,,,p.139
abun1252-1-2-2,,abun1252-1,2,uwe,uwe,,,Galis1955,,false,,,p.139
abun1252-1-3-1,,abun1252-1,3,krí,krí,,,Galis1955,,false,,,p.139
abun1252-1-3-2,,abun1252-1,3,grí,grí,,,Galis1955,,false,,,p.139
abun1252-1-4-1,,abun1252-1,4,at,at,,,Galis1955,,false,,,p.139
abun1252-1-5-1,,abun1252-1,5,mèk,mèk,,,Galis1955,,false,,,p.139
abun1252-1-5-2,,abun1252-1,5,wèk,wèk,,,Galis1955,,false,,,p.139
abun1252-1-6-1,,abun1252-1,6,màt,màt,,,Galis1955,,false,,,p.139
abun1252-1-7-1,,abun1252-1,7,fit,fit,,,Galis1955,,false,,,p.139
abun1252-1-7-2,,abun1252-1,7,mík,mík,,,Galis1955,,false,,,p.139
abun1252-1-8-1,,abun1252-1,8,mĕngwò,mĕngwò,,,Galis1955,,false,,,p.139
abun1252-1-8-2,,abun1252-1,8,mko,mko,,,Galis1955,,false,,,p.139
abun1252-1-9-1,,abun1252-1,9,mĕsí,mĕsí,,,Galis1955,,false,,,p.139
abun1252-1-9-2,,abun1252-1,9,misí,misí,,,Galis1955,,false,,,p.139
abun1252-1-10-1,,abun1252-1,10,mĕsju,mĕsju,,,Galis1955,,false,,,p.139
abun1252-1-10-2,,abun1252-1,10,musiu,musiu,,,Galis1955,,false,,,p.139
abun1252-1-11-1,,abun1252-1,11,musiu-sip-dik,musiu-sip-dik,,,Galis1955,,false,,,p.139
abun1252-1-20-1,,abun1252-1,20,musiu-wè,musiu-wè,,,Galis1955,,false,,,p.139
abun1252-1-20-2,,abun1252-1,20,niro ?,niro ?,,,Galis1955,,false,,,p.139
abun1252-1-30-1,,abun1252-1,30,musiu-krí,musiu-krí,,,Galis1955,,false,,,p.139
abun1252-1-40-1,,abun1252-1,40,musiu-at,musiu-at,,,Galis1955,,false,,,p.139
abun1252-2-1-1,,abun1252-2,1,dik,dik,,,Galis1955,,false,,,p.139
abun1252-2-2-1,,abun1252-2,2,uwi,uwi,,,Galis1955,,false,,,p.139
abun1252-2-3-1,,abun1252-2,3,dili,dili,,,Galis1955,,false,,,p.139
