ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Pages
abai1241-2-200-1,,abai1241-2,200,dungaiʔ ratus,dungaiʔ ratus,,,Lobel2016,,false,,,pp.234-239
abai1241-2-1000-1,,abai1241-2,1000,saribu,saribu,,,Lobel2016,,false,,,pp.234-239
abau1245-1-1-1,,abau1245-1,1,kɑmənɑre,kɑmənɑre,,(man),Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-1-2,,abau1245-1,1,kɑmənuwɔ,kɑmənuwɔ,,"(tree, sago, fire)",Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-1-3,,abau1245-1,1,kɑməniwɔ,kɑməniwɔ,,"(tree, sago, fire)",Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-1-4,,abau1245-1,1,kɑmɛnuwɔ,kɑmɛnuwɔ,,"(tree, sago, fire)",Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-1-5,,abau1245-1,1,kɑmənɑrei,kɑmənɑrei,,(bird),Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-2-1,,abau1245-1,2,bulɛ sinɑre,bulɛ sinɑre,,(man),Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-2-2,,abau1245-1,2,klɑsiwɑu,klɑsiwɑu,,(tree),Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-2-3,,abau1245-1,2,kəlɑsiwɑrei,kəlɑsiwɑrei,,,Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-3-1,,abau1245-1,3,bulɔm linɑre,bulɔm linɑre,,(man),Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-3-2,,abau1245-1,3,kəlɑmniwɑu,kəlɑmniwɑu,,(tree),Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-3-3,,abau1245-1,3,kəlumniwɑrei,kəlumniwɑrei,,,Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-4-1,,abau1245-1,4,suɸɑyei,suɸɑyei,,(man),Laycock1971D32,,false,,,pp.4664-4666
abau1245-1-5-1,,abau1245-1,5,bulʊmdiyɑure,bulʊmdiyɑure,,(man),Laycock1971D32,,false,,,pp.4664-4666
abau1245-2-1-1,,abau1245-2,1,kamanau,kamanau,,,LeanSandaun,,false,,,p.26
abau1245-2-2-1,,abau1245-2,2,kles,kles,,,LeanSandaun,,false,,,p.26
abau1245-2-3-1,,abau1245-2,3,klombli,klombli,,,LeanSandaun,,false,,,p.26
abau1245-2-4-1,,abau1245-2,4,yerboraba,yerboraba,,,LeanSandaun,,false,,,p.26
abau1245-2-5-1,,abau1245-2,5,ihasiden,ihasiden,,,LeanSandaun,,false,,,p.26
abau1245-3-1-1,,abau1245-3,1,kamon,kamon,,,LeanSandaun,,false,,,p.28
abau1245-3-2-1,,abau1245-3,2,kres,kres,,,LeanSandaun,,false,,,p.28
abau1245-3-3-1,,abau1245-3,3,kres kamon,kres kamon,,,LeanSandaun,,false,,,p.28
abau1245-3-4-1,,abau1245-3,4,kres kres,kres kres,,,LeanSandaun,,false,,,p.28
abau1245-3-5-1,,abau1245-3,5,kres kres kamon,kres kres kamon,,,LeanSandaun,,false,,,p.28
abau1245-4-1-1,,abau1245-4,1,kamon,kamon,,,LeanSandaun,,false,,,p.27
abau1245-4-2-1,,abau1245-4,2,kres,kres,,,LeanSandaun,,false,,,p.27
abau1245-4-3-1,,abau1245-4,3,kres kamon,kres kamon,,,LeanSandaun,,false,,,p.27
abau1245-4-4-1,,abau1245-4,4,yorbou ropa,yorbou ropa,,,LeanSandaun,,false,,,p.27
abau1245-4-5-1,,abau1245-4,5,yorbou non,yorbou non,,,LeanSandaun,,false,,,p.27
abau1245-4-6-1,,abau1245-4,6,iha siron pru non,iha siron pru non,,,LeanSandaun,,false,,,p.27
abau1245-4-7-1,,abau1245-4,7,iha siron mu nareis-ar,iha siron mu nareis-ar,,,LeanSandaun,,false,,,p.27
abau1245-4-8-1,,abau1245-4,8,iha siron mu nareis-ar pru-non,iha siron mu nareis-ar pru-non,,,LeanSandaun,,false,,,p.27
abau1245-4-9-1,,abau1245-4,9,iha siron iha-ihau,iha siron iha-ihau,,,LeanSandaun,,false,,,p.27
abau1245-4-10-1,,abau1245-4,10,iha ses,iha ses,,,LeanSandaun,,false,,,p.27
abau1245-4-11-1,,abau1245-4,11,iha ses pru non,iha ses pru non,,,LeanSandaun,,false,,,p.27
abau1245-4-12-1,,abau1245-4,12,iha ses mu nareis-ar,iha ses mu nareis-ar,,,LeanSandaun,,false,,,p.27
abau1245-4-13-1,,abau1245-4,13,iha ses mu nareis pru-non,iha ses mu nareis pru-non,,,LeanSandaun,,false,,,p.27
abau1245-4-14-1,,abau1245-4,14,iha ses mu nareis pru nene namon,iha ses mu nareis pru nene namon,,,LeanSandaun,,false,,,p.27
abau1245-4-15-1,,abau1245-4,15,iha ses sune siron,iha ses sune siron,,,LeanSandaun,,false,,,p.27
abau1245-4-16-1,,abau1245-4,16,iha ses sune siron pru non,iha ses sune siron pru non,,,LeanSandaun,,false,,,p.27
abau1245-4-17-1,,abau1245-4,17,iha ses sune siron mu nareis-ar,iha ses sune siron mu nareis-ar,,,LeanSandaun,,false,,,p.27
abau1245-4-18-1,,abau1245-4,18,iha ses sune siron mu nareis pru non,iha ses sune siron mu nareis pru non,,,LeanSandaun,,false,,,p.27
abau1245-4-19-1,,abau1245-4,19,iha ses sune siron mu nareis pru nene namon,iha ses sune siron mu nareis pru nene namon,,,LeanSandaun,,false,,,p.27
abau1245-4-20-1,,abau1245-4,20,iha ses sune ses,iha ses sune ses,,,LeanSandaun,,false,,,p.27
abau1245-4-21-1,,abau1245-4,21,iha ses sune ses mu namon,iha ses sune ses mu namon,,,LeanSandaun,,false,,,p.27
abau1245-4-30-1,,abau1245-4,30,iha ses sune ses ur prein-so iha ses,iha ses sune ses ur prein-so iha ses,,,LeanSandaun,,false,,,p.27
abau1245-4-100-1,,abau1245-4,100,ur iha siron,ur iha siron,,,LeanSandaun,,false,,,p.27
abau1245-5-1-1,,abau1245-5,1,komoniau,komoniau,,,LeanSandaun,,false,,,p.26
abau1245-5-2-1,,abau1245-5,2,brues,brues,,,LeanSandaun,,false,,,p.26
abau1245-5-4-1,,abau1245-5,4,boniyat,boniyat,,,LeanSandaun,,false,,,p.26
abau1245-5-5-1,,abau1245-5,5,pidemdi,pidemdi,,,LeanSandaun,,false,,,p.26
abau1245-6-1-1,,abau1245-6,1,bulinau,bulinau,,,LeanSandaun,,false,,,p.26
abau1245-6-2-1,,abau1245-6,2,bulisnan,bulisnan,,,LeanSandaun,,false,,,p.26
abau1245-6-3-1,,abau1245-6,3,b'luesblu:yum,b'luesblu:yum,,,LeanSandaun,,false,,,p.26
abau1245-6-4-1,,abau1245-6,4,yorpolopaʔ,yorpolopaʔ,,,LeanSandaun,,false,,,p.26
abau1245-6-5-1,,abau1245-6,5,ihasirum,ihasirum,,,LeanSandaun,,false,,,p.26
abau1245-7-1-1,,abau1245-7,1,komeniau,komeniau,,,LeanSandaun,,false,,,p.26
abau1245-7-2-1,,abau1245-7,2,pides,pides,,,LeanSandaun,,false,,,p.26
abau1245-7-3-1,,abau1245-7,3,biromri,biromri,,,LeanSandaun,,false,,,p.26
abau1245-7-4-1,,abau1245-7,4,pides pidom,pides pidom,,,LeanSandaun,,false,,,p.26
abau1245-7-5-1,,abau1245-7,5,ivasidom,ivasidom,,,LeanSandaun,,false,,,p.26
abau1245-8-1-1,,abau1245-8,1,blinyau,blinyau,,,LeanSandaun,,false,,,p.26
abau1245-8-2-1,,abau1245-8,2,blisnon,blisnon,,,LeanSandaun,,false,,,p.26
abau1245-8-3-1,,abau1245-8,3,krombrinon,krombrinon,,,LeanSandaun,,false,,,p.26
abau1245-8-4-1,,abau1245-8,4,blombri,blombri,,,LeanSandaun,,false,,,p.26
abau1245-8-5-1,,abau1245-8,5,yasirum yerbo,yasirum yerbo,,,LeanSandaun,,false,,,p.26
abau1245-9-1-1,,abau1245-9,1,kemeniau,kemeniau,,,LeanSandaun,,false,,,p.26
abau1245-9-2-1,,abau1245-9,2,bidesnon,bidesnon,,,LeanSandaun,,false,,,p.26
abau1245-9-3-1,,abau1245-9,3,pidemdi,pidemdi,,,LeanSandaun,,false,,,p.26
abau1245-9-4-1,,abau1245-9,4,brues brues,brues brues,,,LeanSandaun,,false,,,p.26
abau1245-9-5-1,,abau1245-9,5,ivasidum,ivasidum,,,LeanSandaun,,false,,,p.26
abin1243-1-1-1,,abin1243-1,1,kekei,kekei,,,Fiwei1999,,false,,,p.28
abin1243-1-2-1,,abin1243-1,2,ɡwabrom,ɡwabrom,,,Fiwei1999,,false,,,p.28
abin1243-1-3-1,,abin1243-1,3,anɡɡwamani,anɡɡwamani,,,Fiwei1999,,false,,,p.28
abin1243-1-4-1,,abin1243-1,4,anɡɡwam-anɡɡwam,anɡɡwam-anɡɡwam,,,Fiwei1999,,false,,,p.28
abin1243-1-5-1,,abin1243-1,5,anɡɡwam-anɡɡwam kekei,anɡɡwam-anɡɡwam kekei,,,Fiwei1999,,false,,,p.28
abin1243-1-6-1,,abin1243-1,6,anɡɡwam-anɡɡwam anɡɡwam,anɡɡwam-anɡɡwam anɡɡwam,,,Fiwei1999,,false,,,p.28
abin1243-1-7-1,,abin1243-1,7,anɡɡwam kekei anɡɡwam kekei,anɡɡwam kekei anɡɡwam kekei,,,Fiwei1999,,false,,,p.28
abin1243-1-8-1,,abin1243-1,8,anɡɡwam- anɡɡwam anɡɡwam-anɡɡwam,anɡɡwam- anɡɡwam anɡɡwam-anɡɡwam,,,Fiwei1999,,false,,,p.28
abin1243-1-9-1,,abin1243-1,9,anɡɡwam kekei anɡɡwam kekei anɡɡwam kekei,anɡɡwam kekei anɡɡwam kekei anɡɡwam kekei,,,Fiwei1999,,false,,,p.28
abin1243-1-10-1,,abin1243-1,10,anɡɡwam-anɡɡwam kekei anɡɡwam-anɡɡwam kekei,anɡɡwam-anɡɡwam kekei anɡɡwam-anɡɡwam kekei,,,Fiwei1999,,false,,,p.28
abua1245-1-1-1,,abua1245-1,1,et-i-n,et-i-n,,,Nekitel1985,,false,,,pp.83-84
abua1245-1-1-2,,abua1245-1,1,at-u-',at-u-',,,Nekitel1985,,false,,,pp.83-84
abua1245-1-1-3,,abua1245-1,1,at-u-m,at-u-m,,,Nekitel1985,,false,,,pp.83-84
abua1245-1-2-1,,abua1245-1,2,bi-e-s,bi-e-s,,,Nekitel1985,,false,,,pp.83-84
abua1245-1-2-2,,abua1245-1,2,bi-a-wa,bi-a-wa,,,Nekitel1985,,false,,,pp.83-84
abua1245-1-2-3,,abua1245-1,2,bi-a-ba,bi-a-ba,,,Nekitel1985,,false,,,pp.83-84
abua1245-1-3-1,,abua1245-1,3,we-n-i-s,we-n-i-s,,,Nekitel1985,,false,,,pp.83-84
abua1245-1-3-2,,abua1245-1,3,wa-n-u-wa,wa-n-u-wa,,,Nekitel1985,,false,,,pp.83-84
abua1245-1-3-3,,abua1245-1,3,wa-n-u-ba,wa-n-u-ba,,,Nekitel1985,,false,,,pp.83-84
abua1245-1-4-1,,abua1245-1,4,nubat-i-s,nubat-i-s,,nubat = dog; Probably derived from the number of dog’s legs.,Nekitel1985,,false,,,pp.83-84
abua1245-1-4-2,,abua1245-1,4,nubat-i-wa,nubat-i-wa,,nubat = dog; Probably derived from the number of dog’s legs.,Nekitel1985,,false,,,pp.83-84
abua1245-1-4-3,,abua1245-1,4,nubat-i-ba,nubat-i-ba,,nubat = dog; Probably derived from the number of dog’s legs.,Nekitel1985,,false,,,pp.83-84
abua1245-1-4-4,,abua1245-1,4,bies i bies,bies i bies,,two things and two things (modified doubling system),Nekitel1985,,false,,,pp.83-84
abua1245-1-5-1,,abua1245-1,5,lakl wa'ara-k-i-l-i-s,lakl wa'ara-k-i-l-i-s,,other-hand,Nekitel1985,,false,,,pp.83-84
abua1245-1-5-2,,abua1245-1,5,lakl wa'ara-k-u-l-u-wa,lakl wa'ara-k-u-l-u-wa,,other-hand,Nekitel1985,,false,,,pp.83-84
abua1245-1-5-3,,abua1245-1,5,lakl wa'ara-kl-i-ba,lakl wa'ara-kl-i-ba,,other-hand,Nekitel1985,,false,,,pp.83-84
abua1245-1-6-1,,abua1245-1,6,lakl wa-ara-kl e etin,lakl wa-ara-kl e etin,,five plus one,Nekitel1985,,false,,,pp.83-84
abua1245-1-6-2,,abua1245-1,6,wenis i wenis,wenis i wenis,,three things and three things (modified doubling system),Nekitel1985,,false,,,pp.83-84
abua1245-1-7-1,,abua1245-1,7,lakl wa-ara-kl e bi-e-s,lakl wa-ara-kl e bi-e-s,,five and two,Nekitel1985,,false,,,pp.83-84
abua1245-1-8-1,,abua1245-1,8,lakl wa-ara-kl e we-n-i-s,lakl wa-ara-kl e we-n-i-s,,five and three,Nekitel1985,,false,,,pp.83-84
abua1245-1-9-1,,abua1245-1,9,lakl wa-ara-kl e nubat-i-s,lakl wa-ara-kl e nubat-i-s,,five and four,Nekitel1985,,false,,,pp.83-84
abua1245-1-10-1,,abua1245-1,10,lakuh biakuh,lakuh biakuh,,two hands,Nekitel1985,,false,,,pp.83-84
abua1245-1-15-1,,abua1245-1,15,lakuh biakuh e bur'ah atuh,lakuh biakuh e bur'ah atuh,,two hands and one leg,Nekitel1985,,false,,,pp.83-84
abua1245-1-20-1,,abua1245-1,20,lakuh biakuh e bur'ah bialah,lakuh biakuh e bur'ah bialah,,two hands and two legs,Nekitel1985,,false,,,pp.83-84
abui1241-1-1-1,,abui1241-1,1,noekoe,noekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-2-1,,abui1241-1,2,ajoekoe,ajoekoe,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-3-1,,abui1241-1,3,soea,soea,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-4-1,,abui1241-1,4,boeti,boeti,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-5-1,,abui1241-1,5,j ɛting,j ɛting,,<jɛting ?>,Stokhof1983Vol6,,false,,,p.313
abui1241-1-6-1,,abui1241-1,6,talama,talama,,,Stokhof1983Vol6,,false,,,p.313
abui1241-1-7-1,,abui1241-1,7,j ɛting ajoekoe,j ɛting ajoekoe,,<jɛting ?>,Stokhof1983Vol6,,false,,,p.313
