ID,Name,Source,Pages,UltimateSource,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
abuu1241-2,Adjora (Gwɨn),Laycock1971D20,p.2772,,abuu1241,Abu,ado,Papunesia,-4.24027,144.474,Lower Sepik-Ramu
abuu1241-3,Porapora #2 (Adjora),Laycock1971D19,p.2684,,abuu1241,Abu,ado,Papunesia,-4.24027,144.474,Lower Sepik-Ramu
achi1257-1,Aceh,Stokhof1986Vol9,pp.290-291,,achi1257,Acehnese,ace,Papunesia,3.90757,96.6032,Austronesian
achi1257-2,"Bayau, Aceh",Stokhof1986Vol9,p.310,,achi1257,Acehnese,ace,Papunesia,3.90757,96.6032,Austronesian
adze1240-1,Adzera,LeanMorobe,p.80,SIL Word List (undated). Village: Kaiapit.,adze1240,Adzera,adz,Papunesia,-6.39394,146.294,Austronesian
adze1240-2,Adzera,Smith1988,p.66,,adze1240,Adzera,adz,Papunesia,-6.39394,146.294,Austronesian
adze1240-3,Ngariawan,Smith1988,p.67,,adze1240,Adzera,adz,Papunesia,-6.39394,146.294,Austronesian
adze1240-4,ˈacela,Grace1955pdf51,p.31,,adze1240,Adzera,adz,Papunesia,-6.39394,146.294,Austronesian
aeka1244-1,Aeka,Lean1985Vol05,p.24,"2 CSQs. Villages: Kikikonda, Korisata.",aeka1244,Aeka,aez,Papunesia,-8.855095,147.99477,Nuclear Trans New Guinea
aeka1244-2,Aeka (Siai village),Lean1985Vol05,p.24,SIL word list (1973). Siai village.,aeka1244,Aeka,aez,Papunesia,-8.855095,147.99477,Nuclear Trans New Guinea
aeka1244-3,Aiga,Chinnery1915,"pp.163, 168",,aeka1244,Aeka,aez,Papunesia,-8.855095,147.99477,Nuclear Trans New Guinea
aeky1238-1,Awin,Lean1986Vol12,p.27,"6 CSQs. Villages: Matkomnai (2), Senamrae (2), Haewenae, Gusiore.",aeky1238,Aekyom,awi,Papunesia,-5.88478,141.532,Kamula-Elevala
agar1252-1,Agarabi (from CSQs),Lean1986Vol08,p.33,7 CSQs.,agar1252,Agarabi,agd,Papunesia,-6.20604,145.917,Nuclear Trans New Guinea
agar1252-2,Agarabi (from IMP/SIL),Lean1986Vol08,p.33,"IMP/SIL Questionnaire (1978). S.I.L survey word list (1975), taken at Panano village, gives identical data for 1 to 5, and 10.",agar1252,Agarabi,agd,Papunesia,-6.20604,145.917,Nuclear Trans New Guinea
aghu1255-1,Digul Mappi,Stokhof1982Vol5.1,p.137,,aghu1255,Aghu,ahh,Papunesia,-6.34674,140.043,Nuclear Trans New Guinea
agii1245-1,Agi,Laycock1967C03,p.54,,agii1245,Agi,aif,Papunesia,-3.49104,142.387,Nuclear Torricelli
agob1244-1,Agöb,Lean1986Vol12,p.69,"3 CSQs. Villages: Buji (2), Sigabaduru.",agob1244,Agob-Ende-Kawam,kit,Papunesia,-9.08521,142.532,Pahoturi
agob1244-2,Bugi,Ray1912,pp.340-341,,agob1244,Agob-Ende-Kawam,kit,Papunesia,-9.08521,142.532,Pahoturi
agob1244-3,Dabu,Ray1912,pp.340-341,,agob1244,Agob-Ende-Kawam,kit,Papunesia,-9.08521,142.532,Pahoturi
agta1234-1,Agta of Dikaméy,Headland1979,pp.3-7,,agta1234,Agta-Pahanan,apf,Papunesia,17.0538,122.2802,Austronesian
agta1234-2,Palanan Dumagat,Headland1965Dumagat,pp.3-7,,agta1234,Agta-Pahanan,apf,Papunesia,17.0538,122.2802,Austronesian
agta1234-3,Kalinga,Alviar-Calinawagan1995,pp.74-75,,agta1234,Agta-Pahanan,apf,Papunesia,17.0538,122.2802,Austronesian
ahin1234-1,"Kallahan, Kayapa Proper",Reid1971,"pp.75, 82, 85, 92, 110, 113, 129, 132, 146, 149, 154",,ahin1234,Ahin-Kayapa Kalanguya,kak,Papunesia,16.321,120.90003,Austronesian
aigh1235-1,Psohoh - Metelen sector,Johnston1980,p.127,,aigh1235,Aighon,aix,Papunesia,-5.99488,150.272,Austronesian
aigh1235-2,Aighon - Zebu village,Spencer2013,pp.80-81,,aigh1235,Aighon,aix,Papunesia,-5.99488,150.272,Austronesian
